GAGEID,COMID,svc_sd,xgb_sd,NUSVR_alpha,NuSVR_beta,GP_alpha,GP_beta,Jan_NN,Feb_NN,March_NN,April_NN,May_NN,June_NN,July_NN,Aug_NN,Sept_NN,Oct_NN,Nov_NN,Dec_NN,NN_td,Jan_XT,Feb_XT,March_XT,April_XT,May_XT,June_XT,July_XT,Aug_XT,Sept_XT,Oct_XT,Nov_XT,Dec_XT,XT_td,Jan_RF,Feb_RF,March_RF,April_RF,May_RF,June_RF,July_RF,Aug_RF,Sept_RF,Oct_RF,Nov_RF,Dec_RF,RF_td
1154,62128807,2,2,2.938549587,0.051587856,2.938549587,0.051587856,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
12508990,78017613,3,3,1.528330959,0.045198187,1.528330959,0.045198187,0,0,0,0,1,1,1,1,1,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1,0,7,0,0,0,0,1,1,1,1,1,1,0,0,6
12324590,78018044,2,2,0.571197199,0.084030316,0.571197199,0.084030316,1,0,0,0,1,1,1,1,1,1,1,1,8,1,0,0,0,1,1,1,1,1,1,1,1,8,1,0,0,0,1,1,1,1,1,1,1,1,8
8317400,75000688,1,1,0.313055002,0.110011891,0.313055002,0.110011891,0,0,0,0,1,1,1,1,1,1,0,0,6,0,0,0,0,1,1,1,1,1,1,1,0,7,0,0,0,0,1,1,1,1,1,1,1,0,7
8208000,75018337,1,0,0.094384457,0.187832494,0.094384457,0.187832494,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,1,1,1,1,1,0,0,0,5,0,0,0,1,1,1,1,1,0,0,0,0,5
7076750,74061209,3,3,2.913348454,0.060032991,2.913348454,0.060032991,1,1,0,0,0,0,0,1,1,1,1,1,6,1,1,0,0,1,0,1,1,1,1,1,1,8,1,0,0,0,0,0,1,1,1,1,1,1,6
6847900,74038522,1,1,0.086638826,0.372229874,0.086638826,0.372229874,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,2
6360500,74010462,1,1,0.004326376,0.243630104,0.004326376,0.243630104,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,1,1,1,1,1,0,0,0,5,0,0,0,1,1,1,1,1,1,0,0,0,6
6140500,74001219,2,1,0.028211873,0.132262379,0.028211873,0.132262379,0,0,0,0,1,1,1,1,1,1,0,0,6,0,0,0,0,1,1,1,1,1,1,1,0,7,0,0,0,0,1,1,1,1,1,1,1,1,7
6071300,74005485,2,2,0.23601595,0.057880285,0.23601595,0.057880285,0,0,0,0,1,0,0,1,1,1,0,0,4,1,0,0,0,1,1,1,1,1,1,1,1,8,1,0,0,0,1,1,1,1,1,1,1,1,8
